error_source,contribution_percent,contribution_absolute,phase,notes
CNOT_errors,4.684664332870558,0.046846643328705584,,
H_gate_error,0.038,0.00038,,
T1_relaxation,8.792089206142117,0.08792089206142117,,
T2_dephasing,7.963915691276147,0.07963915691276147,,
readout,15.54,0.15539999999999998,,
state_preparation,12.0,0.12,,
leakage,2.5500000000000003,0.025500000000000002,,
crosstalk,0.5,0.005,,
total,52.06866923028882,0.5206866923028882,,
