n_parties,secret_bits,mean_success_rate,std_success_rate,mean_ghz_fidelity,std_ghz_fidelity,mean_x_basis_qber,std_x_basis_qber,perfect_reconstruction_rate,n_trials
3,101,0.8970605468749998,0.0019305618783068187,0.8613492838541668,0.002212550221727475,0.12867521367521365,0.007897837129991668,1.0,100
4,101,0.9257466634114583,0.0016631392562919697,0.8133072916666666,0.0022973714970905613,0.1638766788766789,0.008505154367646968,1.0,100
5,101,0.9135945638020835,0.0016944436201847507,0.7609672037760418,0.0026650835083769655,0.20043345543345545,0.00971087341718066,1.0,100
6,101,0.9133300781249999,0.001709768932636525,0.7247436523437498,0.002901860644871712,0.2292307692307693,0.01044419350383968,1.0,100
7,101,0.9075821940104164,0.001649035136044176,0.6907759602864584,0.0033764965944351865,0.25315628815628816,0.011734976291858214,1.0,100
