n_shots,fidelity_mean,fidelity_std
100,0.8585,0.035954832776693584
500,0.8645999999999999,0.011226753760548932
1000,0.8593,0.007975587752636163
2000,0.8600749999999999,0.007498791569313014
4000,0.8627874999999999,0.004651125535824627
8192,0.862078857421875,0.004071420083210398
16384,0.8612274169921875,0.0022572509799952617
32768,0.8616806030273437,0.00219920337851185
